id,GEO_ID,STATE,COUNTY,NAME,LSAD,CENSUSAREA,STATE_ABBR,url_end,Status_Code,Officer_Info_Status
1003,0500000US01003,1,3,Baldwin,County,1589.784,AL,baldwin-county-al,200,Checked
1089,0500000US01089,1,89,Madison,County,801.593,AL,madison-county-al,200,Checked
1117,0500000US01117,1,117,Shelby,County,784.93,AL,shelby-county-al,200,Coming Soon
2090,0500000US02090,2,90,Fairbanks North Star,Borough,7338.209,AK,fairbanks-north-star-borough-ak,200,Checked
2122,0500000US02122,2,122,Kenai Peninsula,Borough,16075.331,AK,kenai-peninsula-borough-ak,200,Checked
2170,0500000US02170,2,170,Matanuska-Susitna,Borough,24607.898,AK,matanuska-susitna-borough-ak,200,Checked
4019,0500000US04019,4,19,Pima,County,9187.036,AZ,pima-county-az,200,Coming Soon
4021,0500000US04021,4,21,Pinal,County,5365.612,AZ,pinal-county-az,200,Checked
5007,0500000US05007,5,7,Benton,County,847.357,AR,benton-county-ar,200,Coming Soon
5031,0500000US05031,5,31,Craighead,County,707.206,AR,craighead-county-ar,200,Checked
5077,0500000US05077,5,77,Lee,County,602.621,AR,lee-county-ar,200,Coming Soon
5085,0500000US05085,5,85,Lonoke,County,770.728,AR,lonoke-county-ar,200,Coming Soon
5119,0500000US05119,5,119,Pulaski,County,759.763,AR,pulaski-county-ar,200,Checked
5143,0500000US05143,5,143,Washington,County,941.966,AR,washington-county-ar,200,Checked
6001,0500000US06001,6,1,Alameda,County,739.017,CA,alameda-county-ca,200,Coming Soon
6005,0500000US06005,6,5,Amador,County,594.583,CA,amador-county-ca,200,Coming Soon
6011,0500000US06011,6,11,Colusa,County,1150.731,CA,colusa-county-ca,200,Coming Soon
6013,0500000US06013,6,13,Contra Costa,County,715.937,CA,contra-costa-county-ca,200,Checked
6019,0500000US06019,6,19,Fresno,County,5957.991,CA,fresno-county-ca,200,Checked
6033,0500000US06033,6,33,Lake,County,1256.464,CA,lake-county-ca,200,Coming Soon
6037,0500000US06037,6,37,Los Angeles,County,4057.884,CA,los-angeles-county-ca,200,Checked
6059,0500000US06059,6,59,Orange,County,790.568,CA,orange-county-ca,200,Checked
6061,0500000US06061,6,61,Placer,County,1407.009,CA,placer-county-ca,200,Coming Soon
6065,0500000US06065,6,65,Riverside,County,7206.48,CA,riverside-county-ca,200,Checked
6071,0500000US06071,6,71,San Bernardino,County,20056.938,CA,san-bernardino-county-ca,200,Coming Soon
6073,0500000US06073,6,73,San Diego,County,4206.63,CA,san-diego-county-ca,200,Checked
6079,0500000US06079,6,79,San Luis Obispo,County,3298.567,CA,san-luis-obispo-county-ca,200,Checked
6081,0500000US06081,6,81,San Mateo,County,448.408,CA,san-mateo-county-ca,200,Coming Soon
6083,0500000US06083,6,83,Santa Barbara,County,2735.085,CA,santa-barbara-county-ca,200,Checked
6085,0500000US06085,6,85,Santa Clara,County,1290.1,CA,santa-clara-county-ca,200,Checked
6089,0500000US06089,6,89,Shasta,County,3775.402,CA,shasta-county-ca,200,Checked
6109,0500000US06109,6,109,Tuolumne,County,2220.884,CA,tuolumne-county-ca,200,Coming Soon
6111,0500000US06111,6,111,Ventura,County,1843.133,CA,ventura-county-ca,200,Coming Soon
6113,0500000US06113,6,113,Yolo,County,1014.689,CA,yolo-county-ca,200,Checked
8013,0500000US08013,8,13,Boulder,County,726.289,CO,boulder-county-co,200,Checked
8035,0500000US08035,8,35,Douglas,County,840.248,CO,douglas-county-co,200,Checked
8041,0500000US08041,8,41,El Paso,County,2126.801,CO,el-paso-county-co,200,Checked
8045,0500000US08045,8,45,Garfield,County,2947.563,CO,garfield-county-co,200,Coming Soon
8059,0500000US08059,8,59,Jefferson,County,764.208,CO,jefferson-county-co,200,Coming Soon
8069,0500000US08069,8,69,Larimer,County,2596.002,CO,larimer-county-co,200,Checked
8077,0500000US08077,8,77,Mesa,County,3328.974,CO,mesa-county-co,200,Coming Soon
8123,0500000US08123,8,123,Weld,County,3987.238,CO,weld-county-co,200,Coming Soon
9001,0500000US09001,9,1,Fairfield,County,624.89,CT,fairfield-county-ct,200,Checked
9003,0500000US09003,9,3,Hartford,County,735.097,CT,hartford-county-ct,200,Checked
9005,0500000US09005,9,5,Litchfield,County,920.56,CT,litchfield-county-ct,200,Checked
10003,0500000US10003,10,3,New Castle,County,426.286,DE,new-castle-county-de,200,Checked
12001,0500000US12001,12,1,Alachua,County,875.02,FL,alachua-county-fl,200,Coming Soon
12005,0500000US12005,12,5,Bay,County,758.459,FL,bay-county-fl,200,Checked
12009,0500000US12009,12,9,Brevard,County,1015.664,FL,brevard-county-fl,200,Checked
12011,0500000US12011,12,11,Broward,County,1209.785,FL,broward-county-fl,200,Checked
12015,0500000US12015,12,15,Charlotte,County,680.279,FL,charlotte-county-fl,200,Checked
12017,0500000US12017,12,17,Citrus,County,581.696,FL,citrus-county-fl,200,Coming Soon
12019,0500000US12019,12,19,Clay,County,604.36,FL,clay-county-fl,200,Checked
12021,0500000US12021,12,21,Collier,County,1998.324,FL,collier-county-fl,200,Checked
12031,0500000US12031,12,31,Duval,County,762.192,FL,duval-county-fl,200,Checked
12035,0500000US12035,12,35,Flagler,County,485.461,FL,flagler-county-fl,200,Checked
12053,0500000US12053,12,53,Hernando,County,472.539,FL,hernando-county-fl,200,Checked
12055,0500000US12055,12,55,Highlands,County,1016.615,FL,highlands-county-fl,200,Coming Soon
12057,0500000US12057,12,57,Hillsborough,County,1020.214,FL,hillsborough-county-fl,200,Checked
12061,0500000US12061,12,61,Indian River,County,502.872,FL,indian-river-county-fl,200,Checked
12073,0500000US12073,12,73,Leon,County,666.852,FL,leon-county-fl,200,Checked
12083,0500000US12083,12,83,Marion,County,1584.546,FL,marion-county-fl,200,Coming Soon
12085,0500000US12085,12,85,Martin,County,543.464,FL,martin-county-fl,200,Checked
12086,0500000US12086,12,86,Miami-Dade,County,1897.716,FL,miami-dade-county-fl,200,Coming Soon
12087,0500000US12087,12,87,Monroe,County,983.282,FL,monroe-county-fl,200,Checked
12091,0500000US12091,12,91,Okaloosa,County,930.247,FL,okaloosa-county-fl,200,Coming Soon
12095,0500000US12095,12,95,Orange,County,903.429,FL,orange-county-fl,200,Checked
12097,0500000US12097,12,97,Osceola,County,1327.453,FL,osceola-county-fl,200,Checked
12099,0500000US12099,12,99,Palm Beach,County,1969.763,FL,palm-beach-county-fl,200,Checked
12101,0500000US12101,12,101,Pasco,County,746.886,FL,pasco-county-fl,200,Coming Soon
12103,0500000US12103,12,103,Pinellas,County,273.799,FL,pinellas-county-fl,200,Checked
12105,0500000US12105,12,105,Polk,County,1797.837,FL,polk-county-fl,200,Checked
12107,0500000US12107,12,107,Putnam,County,727.622,FL,putnam-county-fl,200,Checked
12113,0500000US12113,12,113,Santa Rosa,County,1011.605,FL,santa-rosa-county-fl,200,Coming Soon
12115,0500000US12115,12,115,Sarasota,County,555.868,FL,sarasota-county-fl,200,Checked
12117,0500000US12117,12,117,Seminole,County,309.221,FL,seminole-county-fl,200,Checked
12127,0500000US12127,12,127,Volusia,County,1101.032,FL,volusia-county-fl,200,Coming Soon
12131,0500000US12131,12,131,Walton,County,1037.625,FL,walton-county-fl,200,Checked
13055,0500000US13055,13,55,Chattooga,County,313.338,GA,chattooga-county-ga,200,Coming Soon
13067,0500000US13067,13,67,Cobb,County,339.549,GA,cobb-county-ga,200,Coming Soon
13117,0500000US13117,13,117,Forsyth,County,224.021,GA,forsyth-county-ga,200,Coming Soon
13121,0500000US13121,13,121,Fulton,County,526.635,GA,fulton-county-ga,200,Coming Soon
13135,0500000US13135,13,135,Gwinnett,County,430.383,GA,gwinnett-county-ga,200,Checked
13139,0500000US13139,13,139,Hall,County,392.782,GA,hall-county-ga,200,Checked
13157,0500000US13157,13,157,Jackson,County,339.663,GA,jackson-county-ga,200,Checked
13175,0500000US13175,13,175,Laurens,County,807.296,GA,laurens-county-ga,200,Coming Soon
13219,0500000US13219,13,219,Oconee,County,184.29,GA,oconee-county-ga,200,Checked
15003,0500000US15003,15,3,Honolulu,County,600.743,HI,honolulu-county-hi,200,Checked
15009,0500000US15009,15,9,Maui,County,1161.521,HI,maui-county-hi,200,Coming Soon
